"Prediction","Ground Truth"
"20.72914695739746","25"
"25.423349380493164","27.5"
"27.97182273864746","30"
"27.422714233398438","35"
"29.767419815063477","37.5"
"32.00752639770508","40"
"34.65839767456055","40"
"30.63255500793457","37.5"
"32.978233337402344","40"
"33.262298583984375","40"
"37.23884582519531","42.5"
"40.73566436767578","50"
"36.80091094970703","52.5"
"37.16973876953125","47.5"
"41.70025634765625","50"
"42.128150939941406","52.5"
"38.67186737060547","47.5"
"41.27119445800781","42.5"
"40.060279846191406","40"
"39.340084075927734","40"
"43.023380279541016","40"
"32.669166564941406","40"
"31.394136428833008","40"
"30.138208389282227","40"
"31.63149070739746","40"
"35.44957733154297","42.5"
"34.92087173461914","47.5"
"36.485050201416016","50"
"39.747657775878906","42.5"
"40.145965576171875","47.5"
"42.572547912597656","50"
"42.26148986816406","52.5"
"40.95852279663086","52.5"
"36.184852600097656","50"
"34.91387939453125","45"
"37.2402229309082","52.5"
"33.58411407470703","50"
"28.149599075317383","45"
"23.166868209838867","40"
"19.114885330200195","35"
"13.84372329711914","27.5"
"12.522642135620117","17.5"
"22.700618743896484","35"
"15.72907829284668","27.5"
"10.509749412536621","17.5"
"4.766782760620117","0"
"3.8124098777770996","0"
"2.9112038612365723","0"
"21.169652938842773","17.5"
"19.29636573791504","20"
"21.09626579284668","22.5"
"22.012325286865234","25"
"21.01029396057129","27.5"
"23.53196144104004","27.5"
"24.631574630737305","30"
"23.403017044067383","27.5"
"24.022201538085938","27.5"
"29.68514633178711","30"
"26.501178741455078","32.5"
"23.80303192138672","35"
"25.70008659362793","35"
"24.399105072021484","25"
"30.555233001708984","35"
"29.09672737121582","35"
"26.457548141479492","25"
"19.814430236816406","22.5"
"16.144025802612305","17.5"
"14.060271263122559","0"
"13.912580490112305","0"
"13.548906326293945","0"
"16.11936378479004","17.5"
"17.520112991333008","17.5"
"16.095449447631836","17.5"
"16.12712287902832","17.5"
"15.441757202148438","17.5"
"14.954490661621094","17.5"
"15.250434875488281","17.5"
"14.246539115905762","17.5"
"16.31496238708496","17.5"
"16.031164169311523","17.5"
"11.826666831970215","0"
"10.788702964782715","0"
"22.921998977661133","20"
"27.66623878479004","20"
"33.98484420776367","22.5"
"28.01238250732422","25"
"21.163484573364258","25"
"20.40435028076172","25"
"24.027616500854492","25"
"23.726362228393555","25"
"22.034732818603516","25"
"29.74854278564453","25"
"32.461124420166016","27.5"
"28.834239959716797","27.5"
"31.07817268371582","27.5"
"28.362049102783203","27.5"
"27.966896057128906","27.5"
"30.61676788330078","27.5"
"32.36328125","27.5"
"29.761241912841797","27.5"
"19.085548400878906","27.5"
"18.580291748046875","25"
"14.870179176330566","22.5"
"23.828664779663086","27.5"
"18.927122116088867","25"
"19.429744720458984","22.5"
"16.676069259643555","17.5"
"10.696428298950195","0"
"16.48174476623535","30"
"19.718421936035156","35"
"23.455402374267578","40"
"21.602876663208008","45"
"20.37995719909668","47.5"
"15.991867065429688","47.5"
"18.983043670654297","42.5"
"32.47955322265625","47.5"
"31.65463638305664","47.5"
"23.4364070892334","42.5"
"20.121883392333984","37.5"
"21.964967727661133","35"
"20.875368118286133","32.5"
"23.796241760253906","35"
"19.6745662689209","35"
"22.48430061340332","32.5"
"29.97117805480957","35"
"30.39177131652832","37.5"
"30.526248931884766","42.5"
"37.495384216308594","42.5"
"38.81737518310547","42.5"
"34.143985748291016","42.5"
"35.08642578125","42.5"
"33.82968521118164","42.5"
"23.277482986450195","37.5"
"20.592952728271484","27.5"
"23.270841598510742","22.5"
"18.929288864135742","0"
"15.582294464111328","17.5"
"12.799783706665039","17.5"
"11.273965835571289","17.5"
"9.57822036743164","17.5"
"8.864455223083496","0"
"7.547411918640137","0"
"22.720685958862305","0"
"23.395902633666992","17.5"
"29.868432998657227","20"
"28.819120407104492","25"
"33.16376876831055","25"
"26.875946044921875","27.5"
"27.10118293762207","27.5"
"35.89849853515625","25"
"33.778106689453125","27.5"
"31.880523681640625","27.5"
"30.549373626708984","27.5"
"30.35068702697754","32.5"
"32.09150695800781","35"
"33.52629089355469","37.5"
"29.322622299194336","32.5"
"31.328519821166992","35"
"29.206525802612305","37.5"
"27.986173629760742","37.5"
"30.995874404907227","37.5"
"25.30849266052246","37.5"
"23.9940185546875","35"
"30.19209098815918","37.5"
"26.543901443481445","37.5"
"25.031978607177734","35"
"23.703889846801758","32.5"
"17.504207611083984","27.5"
"14.084456443786621","25"
"13.416584014892578","20"
"20.48126792907715","27.5"
"14.049728393554688","25"
"12.273002624511719","20"
"9.469655990600586","17.5"
"8.834236145019531","0"
"7.984967231750488","0"
"15.21074104309082","17.5"
"17.759563446044922","17.5"
"18.03689193725586","17.5"
"18.590511322021484","17.5"
"19.32476234436035","20"
"22.441606521606445","20"
"27.98038673400879","22.5"
"17.394243240356445","20"
"20.13463020324707","20"
"27.41707992553711","22.5"
"27.942277908325195","25"
"32.5486946105957","27.5"
"35.63777542114258","30"
"38.79478454589844","30"
"31.418195724487305","27.5"
"34.02301025390625","30"
"36.332191467285156","30"
"38.428001403808594","35"
"40.157867431640625","37.5"
"43.19828796386719","42.5"
"43.79527282714844","45"
"41.303829193115234","37.5"
"42.97269058227539","42.5"
"44.5863151550293","45"
"45.28650665283203","50"
"45.70222473144531","50"
"45.123626708984375","50"
"42.42942428588867","50"
"43.54629135131836","50"
"44.09770202636719","50"
"44.94019317626953","50"
"44.399471282958984","50"
"40.84858322143555","45"
"41.444618225097656","42.5"
"41.57771301269531","40"
"40.98120880126953","45"
"41.279441833496094","42.5"
"40.45790100097656","40"
"37.613460540771484","40"
"39.64903259277344","37.5"
"37.68377685546875","37.5"
"39.94757843017578","40"
"36.30439758300781","37.5"
"34.58806228637695","37.5"
"39.52567672729492","40"
"39.93101501464844","40"
"36.913841247558594","35"
"22.112871170043945","25"
"22.91187858581543","20"
"31.776395797729492","35"
"20.400959014892578","25"
"18.461362838745117","20"
"14.839079856872559","17.5"
"12.478351593017578","0"
"11.323455810546875","0"
"10.849419593811035","0"
"11.712621688842773","0"
"10.673845291137695","0"
"10.768485069274902","0"
"8.563121795654297","0"
"8.464675903320312","0"
"6.761144161224365","0"
"7.987040996551514","0"
"26.652523040771484","22.5"
"29.94499397277832","25"
"30.79640769958496","32.5"
"29.75361442565918","35"
"27.81608772277832","37.5"
"26.178058624267578","42.5"
"22.68840217590332","45"
"28.99547004699707","37.5"
"26.21918296813965","42.5"
"27.291547775268555","45"
"28.82640838623047","47.5"
"24.033105850219727","47.5"
"29.742856979370117","47.5"
"28.486419677734375","47.5"
"26.812448501586914","47.5"
"24.165328979492188","47.5"
"26.351606369018555","47.5"
"22.970970153808594","42.5"
"36.454471588134766","40"
"27.00068473815918","42.5"
"34.69287872314453","42.5"
"31.325849533081055","40"
"35.2703857421875","42.5"
"34.777217864990234","42.5"
"37.90727233886719","42.5"
"34.02106857299805","42.5"
"31.902280807495117","45"
"33.97199630737305","47.5"
"36.35808181762695","42.5"
"35.938804626464844","45"
"35.86752700805664","47.5"
"37.39887237548828","50"
"32.775699615478516","52.5"
"28.94131088256836","52.5"
"29.427915573120117","52.5"
"36.77542495727539","52.5"
"36.76433181762695","52.5"
"37.00255584716797","52.5"
"37.28385925292969","52.5"
"34.483299255371094","52.5"
"30.448162078857422","52.5"
"28.972841262817383","50"
"36.03247833251953","52.5"
"35.18255615234375","52.5"
"37.82077407836914","50"
"36.22563171386719","47.5"
"35.98394012451172","47.5"
"33.3692512512207","47.5"
"27.558435440063477","42.5"
"34.1166877746582","47.5"
"33.035606384277344","47.5"
"28.301692962646484","42.5"
"24.6165828704834","35"
"19.871164321899414","30"
"18.840410232543945","25"
"20.163288116455078","17.5"
"20.818208694458008","30"
"13.326542854309082","25"
"9.878265380859375","17.5"
"7.35080623626709","0"
"6.481045246124268","0"
"5.596177101135254","0"
"7.673616409301758","0"
"23.15384864807129","17.5"
"19.23719596862793","17.5"
"21.250370025634766","20"
"21.54282569885254","22.5"
"25.006412506103516","25"
"25.898595809936523","25"
"33.29520797729492","27.5"
"23.579160690307617","25"
"24.817554473876953","25"
"31.177831649780273","27.5"
"30.521928787231445","32.5"
"33.33064651489258","37.5"
"34.3652458190918","40"
"35.132389068603516","42.5"
"36.20949172973633","37.5"
"36.55462646484375","40"
"40.59626007080078","42.5"
"43.166099548339844","45"
"43.42760467529297","45"
"40.43687438964844","45"
"40.44471740722656","45"
"41.81119918823242","45"
"39.6650390625","45"
"39.78779983520508","45"
"41.1445198059082","42.5"
"41.40384292602539","42.5"
"41.33170700073242","45"
"41.15119934082031","45"
"41.802520751953125","42.5"
"39.46311950683594","45"
"36.737796783447266","45"
"37.46076202392578","45"
"30.81672477722168","40"
"26.18134117126465","35"
"23.52971649169922","35"
"35.180503845214844","40"
"22.927846908569336","35"
"23.30442237854004","35"
"22.859365463256836","32.5"
"17.204240798950195","37.5"
"20.76838493347168","40"
"23.47532844543457","40"
"22.986143112182617","37.5"
"23.00323486328125","40"
"22.77339744567871","40"
"17.134801864624023","42.5"
"17.884977340698242","42.5"
"18.2479190826416","42.5"
"19.47694206237793","40"
"24.015005111694336","42.5"
"21.91037940979004","42.5"
"24.623226165771484","40"
"24.14112091064453","37.5"
"19.364320755004883","35"
"19.892669677734375","35"
"15.685172080993652","32.5"
"16.851455688476562","35"
"16.997949600219727","35"
"13.824390411376953","32.5"
"11.150450706481934","27.5"
"7.836709976196289","22.5"
"6.947081565856934","0"
"6.959522724151611","0"
"7.8452935218811035","22.5"
"6.878065586090088","0"
"7.402023792266846","0"
"7.626930236816406","0"
