"Prediction","Ground Truth"
"22.847049713134766","25"
"20.09014320373535","27.5"
"22.6878604888916","30"
"18.485591888427734","35"
"25.26907730102539","37.5"
"25.411022186279297","40"
"26.868572235107422","40"
"27.53366470336914","37.5"
"27.445106506347656","40"
"26.830219268798828","40"
"26.351139068603516","42.5"
"34.19158172607422","50"
"32.74052047729492","52.5"
"25.766538619995117","47.5"
"37.45894241333008","50"
"42.39760208129883","52.5"
"32.7823371887207","47.5"
"34.6101188659668","42.5"
"33.62749099731445","40"
"39.250125885009766","40"
"40.451351165771484","40"
"24.442222595214844","40"
"31.413272857666016","40"
"25.64936065673828","40"
"27.234619140625","40"
"29.742473602294922","42.5"
"31.906349182128906","47.5"
"32.649654388427734","50"
"36.94589614868164","42.5"
"39.2806282043457","47.5"
"44.20931625366211","50"
"45.053836822509766","52.5"
"41.5081901550293","52.5"
"37.23735427856445","50"
"34.40568161010742","45"
"38.9174919128418","52.5"
"33.78218460083008","50"
"29.83125877380371","45"
"23.25297737121582","40"
"13.745063781738281","35"
"10.853321075439453","27.5"
"13.857877731323242","17.5"
"17.544906616210938","35"
"16.60371971130371","27.5"
"13.241363525390625","17.5"
"11.183028221130371","0"
"5.243139743804932","0"
"2.8452277183532715","0"
"15.958398818969727","17.5"
"15.0712890625","20"
"16.430723190307617","22.5"
"19.24810791015625","25"
"19.99746322631836","27.5"
"22.845094680786133","27.5"
"21.424928665161133","30"
"20.570892333984375","27.5"
"24.72969627380371","27.5"
"23.072166442871094","30"
"25.83297348022461","32.5"
"20.41261863708496","35"
"23.552261352539062","35"
"23.018259048461914","25"
"34.46535110473633","35"
"30.85162925720215","35"
"26.660411834716797","25"
"19.264801025390625","22.5"
"14.855287551879883","17.5"
"10.096807479858398","0"
"6.202982425689697","0"
"9.298650741577148","0"
"11.008441925048828","17.5"
"10.6011962890625","17.5"
"10.735087394714355","17.5"
"9.009954452514648","17.5"
"7.956289291381836","17.5"
"8.749275207519531","17.5"
"11.682294845581055","17.5"
"11.583963394165039","17.5"
"11.532020568847656","17.5"
"10.080002784729004","17.5"
"6.29963493347168","0"
"5.08677864074707","0"
"17.205293655395508","20"
"24.499248504638672","20"
"28.614952087402344","22.5"
"31.776752471923828","25"
"27.988998413085938","25"
"19.351123809814453","25"
"22.341249465942383","25"
"29.436525344848633","25"
"25.64989471435547","25"
"29.26225471496582","25"
"29.476083755493164","27.5"
"23.637969970703125","27.5"
"22.92435073852539","27.5"
"25.015655517578125","27.5"
"25.135459899902344","27.5"
"24.898160934448242","27.5"
"23.789661407470703","27.5"
"25.04644203186035","27.5"
"16.8089542388916","27.5"
"16.281930923461914","25"
"13.951278686523438","22.5"
"21.12670135498047","27.5"
"18.633928298950195","25"
