YEAR    MONTH   DAY     HOUR    TC_PRE  TC_ID   TC_NAME     CEN_LON CEN_LAT 
2013    01      02      12      TC1     -9999   NONAME      128.0   7.6     
2013    01      03      00      TC1     -9999   NONAME      123.4   8.6     
2013    01      03      12      TC1     1301    SONAMU      119.6   8.6     
2013    01      04      00      TC1     1301    SONAMU      116.2   8.4     
2013    01      04      12      TC1     1301    SONAMU      114.0   8.6     
2013    01      05      00      TC1     1301    SONAMU      112.0   8.4     
2013    01      05      12      TC1     1301    SONAMU      110.5   7.5     
2013    01      06      00      TC1     1301    SONAMU      109.9   7.0     
2013    01      06      12      TC1     1301    SONAMU      109.3   7.5     
2013    01      07      00      TC1     1301    SONAMU      108.4   6.7     
2013    01      07      12      TC1     1301    SONAMU      108.2   6.3     
2013    01      08      00      TC1     1301    SONAMU      108.0   6.0     
2013    02      20      00      TC1     -9999   NONAME      121.1   7.3     
2013    02      20      12      TC1     -9999   NONAME      120.6   7.4     
2013    02      22      00      TC1     1302    SHANSHAN    109.4   5.6     
2013    02      22      12      TC1     1302    SHANSHAN    109.5   5.3     
2013    02      23      00      TC1     1302    SHANSHAN    109.4   4.7     
2013    06      08      00      TC1     -9999   NONAME      129.0   15.4    
2013    06      08      12      TC1     1303    YAGI        129.1   16.8    
2013    06      09      00      TC1     1303    YAGI        130.9   19.3    
2013    06      09      12      TC1     1303    YAGI        132.0   20.9    
2013    06      10      00      TC1     1303    YAGI        133.3   22.3    
2013    06      10      12      TC1     1303    YAGI        134.9   24.4    
2013    06      11      00      TC1     1303    YAGI        136.2   27.6    
2013    06      11      12      TC1     1303    YAGI        136.8   29.9    
2013    06      12      00      TC1     1303    YAGI        137.2   31.0    
2013    06      17      00      TC1     -9999   NONAME      126.9   13.3    
2013    06      17      12      TC1     -9999   NONAME      126.6   14.5    
2013    06      18      00      TC1     1304    LEEPI       126.6   16.6    
2013    06      18      12      TC1     1304    LEEPI       126.5   18.9    
2013    06      19      00      TC1     1304    LEEPI       125.8   20.3    
2013    06      19      12      TC1     1304    LEEPI       125.4   23.9    
2013    06      20      00      TC1     1304    LEEPI       124.8   26.8    
2013    06      20      12      TC1     1304    LEEPI       125.7   30.0    
2013    06      21      00      TC1     1304    LEEPI       127.0   32.0    
2013    06      21      12      TC1     1305    BEBINCA     114.7   18.9    
2013    06      22      00      TC1     1305    BEBINCA     111.3   19.5    
2013    06      22      12      TC1     1305    BEBINCA     108.7   19.0    
2013    06      23      00      TC1     1305    BEBINCA     107.2   19.8    
2013    06      23      12      TC1     1305    BEBINCA     106.4   20.5    
2013    06      24      00      TC1     1305    BEBINCA     106.4   20.8    
2013    06      27      12      TC1     -9999   NONAME      130.8   9.5     
2013    06      28      00      TC1     -9999   NONAME      129.3   9.5     
2013    06      28      12      TC1     1306    RUMBIA      128.0   10.3    
2013    06      29      00      TC1     1306    RUMBIA      125.9   11.5    
2013    06      29      12      TC1     1306    RUMBIA      122.5   13.7    
2013    06      30      00      TC1     1306    RUMBIA      119.7   14.6    
2013    06      30      12      TC1     1306    RUMBIA      117.2   16.4    
2013    07      01      00      TC1     1306    RUMBIA      114.0   18.2    
2013    07      02      00      TC1     1306    RUMBIA      110.0   21.4    
2013    07      02      12      TC1     1306    RUMBIA      108.0   24.0    
2013    07      10      00      TC1     1307    SOULIK      135.8   21.1    
2013    07      10      12      TC1     1307    SOULIK      133.5   21.8    
2013    07      11      00      TC1     1307    SOULIK      130.9   22.1    
2013    07      11      12      TC1     1307    SOULIK      128.4   22.4    
2013    07      12      00      TC1     1307    SOULIK      125.9   22.8    
2013    07      12      12      TC1     1307    SOULIK      123.9   23.9    
2013    07      13      00      TC1     1307    SOULIK      121.2   25.0    
2013    07      13      12      TC1     1307    SOULIK      118.8   26.7    
2013    07      14      00      TC1     1307    SOULIK      115.0   28.0    
2013    07      16      00      TC1     -9999   NONAME      125.0   14.8    
2013    07      16      12      TC1     -9999   NONAME      123.5   16.2    
2013    07      17      00      TC1     1308    CIMARON     122.5   17.7    
2013    07      17      12      TC1     1308    CIMARON     120.5   19.7    
2013    07      18      00      TC1     1308    CIMARON     118.3   21.5    
2013    07      18      12      TC1     1308    CIMARON     117.3   22.9    
2013    07      30      00      TC1     -9999   NONAME      119.5   14.3    
2013    07      30      12      TC1     -9999   NONAME      117.0   14.5    
2013    07      31      00      TC1     1309    JEBI        116.1   14.7    
2013    07      31      12      TC1     1309    JEBI        114.8   15.1    
2013    08      01      00      TC1     1309    JEBI        113.8   15.6    
2013    08      01      12      TC1     1309    JEBI        112.9   16.6    
2013    08      02      00      TC1     1309    JEBI        112.4   17.3    
2013    08      02      12      TC1     1309    JEBI        111.1   19.7    
2013    08      03      00      TC1     1309    JEBI        107.9   20.9    
2013    08      03      12      TC1     1309    JEBI        104.0   22.0    
2013    08      05      00      TC1     -9999   NONAME      118.0   10.8    
2013    08      05      12      TC1     -9999   NONAME      116.1   11.8    
2013    08      06      00      TC1     -9999   NONAME      113.0   14.5    
2013    08      06      12      TC1     1310    MANGKHUT    110.8   15.8    
2013    08      07      00      TC1     1310    MANGKHUT    108.3   18.1    
2013    08      07      12      TC1     1310    MANGKHUT    106.2   19.3    
2013    08      08      00      TC1     1310    MANGKHUT    104.0   20.0    
2013    08      09      00      TC1     -9999   NONAME      135.0   13.3    
2013    08      09      12      TC1     -9999   NONAME      132.6   13.7    
2013    08      10      00      TC1     1311    UTOR        130.6   13.6    
2013    08      10      12      TC1     1311    UTOR        128.2   14.0    
2013    08      11      00      TC1     1311    UTOR        125.9   14.5    
2013    08      11      12      TC1     1311    UTOR        123.5   15.5    
2013    08      12      00      TC1     1311    UTOR        121.0   16.5    
2013    08      12      12      TC1     1311    UTOR        118.0   17.9    
2013    08      13      00      TC1     1311    UTOR        115.2   18.3    
2013    08      13      12      TC1     1311    UTOR        113.5   19.2    
2013    08      14      00      TC1     1311    UTOR        112.2   20.6    
2013    08      14      12      TC1     1311    UTOR        111.3   22.0    
2013    08      15      00      TC1     1311    UTOR        111.0   23.1    
2013    08      15      12      TC1     1311    UTOR        111.0   24.0    
2013    08      16      00      TC1     -9999   NONAME      123.8   22.8    
2013    08      16      12      TC1     -9999   NONAME      123.4   22.5    
2013    08      17      00      TC1     -9999   NONAME      130.3   25.9    
2013    08      17      12      TC1     -9999   NONAME      128.1   27.0    
2013    08      18      00      TC1     1312    TRAMI       127.3   20.5    
2013    08      18      12      TC1     1312    TRAMI       127.8   20.5    
2013    08      19      00      TC1     1312    TRAMI       128.0   20.1    
2013    08      19      12      TC1     1312    TRAMI       128.1   20.1    
2013    08      20      00      TC1     1312    TRAMI       128.3   21.3    
2013    08      20      12      TC1     1312    TRAMI       126.8   22.9    
2013    08      21      00      TC1     1312    TRAMI       124.4   25.2    
2013    08      21      12      TC1     1312    TRAMI       121.0   25.9    
2013    08      22      00      TC1     1312    TRAMI       118.4   26.0    
2013    08      22      12      TC1     1312    TRAMI       116.0   27.5    
2013    08      25      00      TC2     1313    NONAME      129.5   11.0    
2013    08      25      12      TC2     1313    NONAME      128.3   13.2    
2013    08      26      00      TC1     -9999   NONAME      126.3   15.5    
2013    08      26      12      TC1     1315    KONG-REY    124.2   16.9    
2013    08      27      00      TC1     1315    KONG-REY    123.8   18.3    
2013    08      27      12      TC1     1315    KONG-REY    123.5   20.0    
2013    08      28      00      TC1     1315    KONG-REY    122.6   20.9    
2013    08      28      12      TC1     1315    KONG-REY    122.7   22.7    
2013    08      29      00      TC1     1315    KONG-REY    122.5   25.2    
2013    08      29      12      TC1     1315    KONG-REY    122.1   26.7    
2013    08      30      00      TC1     1315    KONG-REY    123.5   28.7    
2013    08      30      12      TC1     1315    KONG-REY    125.7   30.7    
2013    09      01      00      TC1     -9999   NONAME      122.9   25.1    
2013    09      01      12      TC2     1316    NONAME      124.6   26.0    
2013    09      02      00      TC1     1317    TORAJI      125.5   26.6    
2013    09      02      12      TC1     1317    TORAJI      126.6   27.7    
2013    09      03      00      TC1     1317    TORAJI      127.3   28.6    
2013    09      03      12      TC1     1317    TORAJI      128.9   30.0    
2013    09      04      00      TC1     1317    TORAJI      133.0   33.0    
2013    09      06      00      TC1     -9999   NONAME      117.2   15.6    
2013    09      14      00      TC1     1318    MAN-YI      137.2   24.1    
2013    09      14      12      TC1     1318    MAN-YI      135.5   26.2    
2013    09      15      00      TC1     1318    MAN-YI      134.3   28.7    
2013    09      15      12      TC1     1318    MAN-YI      135.0   31.5    
2013    09      16      00      TC1     1318    MAN-YI      137.7   35.3    
2013    09      16      12      TC2     1318    NONAME      131.6   17.9    
2013    09      17      00      TC1     1319    USAGI       130.4   17.8    
2013    09      17      12      TC1     1319    USAGI       130.6   17.5    
2013    09      18      00      TC1     1319    USAGI       130.4   17.2    
2013    09      18      12      TC1     1319    USAGI       129.6   17.3    
2013    09      19      00      TC1     1319    USAGI       128.3   16.9    
2013    09      19      12      TC1     1319    USAGI       127.3   18.1    
2013    09      20      00      TC1     1319    USAGI       125.5   19.3    
2013    09      20      12      TC1     1319    USAGI       123.8   20.1    
2013    09      21      00      TC1     1319    USAGI       121.7   20.7    
2013    09      21      12      TC1     1319    USAGI       119.7   21.1    
2013    09      22      00      TC2     1319    USAGI       117.9   21.8    
2013    09      22      12      TC2     1319    USAGI       115.4   22.9    
2013    09      23      00      TC2     1319    USAGI       112.5   23.8    
2013    09      25      12      TC2     1320    NONAME      118.5   14.8    
2013    09      26      00      TC2     -9999   NONAME      118.4   15.0    
2013    09      26      12      TC2     -9999   NONAME      118.1   15.1    
2013    09      27      00      TC2     -9999   NONAME      117.4   15.9    
2013    09      27      12      TC1     1321    WUTIP       115.3   17.0    
2013    09      28      00      TC1     1321    WUTIP       114.0   16.5    
2013    09      28      12      TC1     1321    WUTIP       113.9   16.9    
2013    09      29      00      TC1     1321    WUTIP       112.5   16.8    
2013    09      29      12      TC1     1321    WUTIP       111.1   16.9    
2013    09      30      00      TC1     1321    WUTIP       108.7   17.2    
2013    09      30      12      TC2     1321    WUTIP       105.9   17.8    
2013    10      01      00      TC2     1323    FITOW       132.0   14.2    
2013    10      01      12      TC2     1323    FITOW       131.2   16.1    
2013    10      02      00      TC2     1323    FITOW       130.6   17.6    
2013    10      02      12      TC2     1323    FITOW       129.9   18.9    
2013    10      03      00      TC1     1323    FITOW       129.8   20.0    
2013    10      03      12      TC1     1323    FITOW       129.7   21.2    
2013    10      05      00      TC1     1323    FITOW       127.6   24.4    
2013    10      05      12      TC1     1323    FITOW       126.0   25.2    
2013    10      06      00      TC1     1323    FITOW       123.8   25.6    
2013    10      06      12      TC1     1324    DANAS       133.5   22.7    
2013    10      07      00      TC1     1324    DANAS       130.2   25.2    
2013    10      07      12      TC1     1324    DANAS       127.7   28.1    
2013    10      08      00      TC1     1324    DANAS       127.0   31.4    
2013    10      08      12      TC1     1324    DANAS       129.5   34.5    
2013    10      09      12      TC1     1325    NARI        129.2   14.3    
2013    10      10      00      TC1     1325    NARI        128.0   14.9    
2013    10      10      12      TC1     1325    NARI        126.1   15.3    
2013    10      11      00      TC1     1325    NARI        124.5   15.3    
2013    10      11      12      TC1     1325    NARI        122.7   15.4    
2013    10      12      00      TC2     1325    NARI        119.0   15.4    
2013    10      12      12      TC2     1325    NARI        117.0   15.3    
2013    10      13      00      TC1     1326    WIPHA       137.4   18.4    
2013    10      13      12      TC2     1325    NARI        112.6   15.4    
2013    10      14      00      TC1     1326    WIPHA       135.5   21.8    
2013    10      14      12      TC1     1326    WIPHA       134.3   24.2    
2013    10      15      00      TC1     1326    WIPHA       133.8   26.7    
2013    10      15      12      TC1     1326    WIPHA       136.4   30.3    
2013    10      20      00      TC1     1327    FRANCISCO   137.7   17.8    
2013    10      20      12      TC1     1327    FRANCISCO   136.9   18.7    
2013    10      21      00      TC1     1327    FRANCISCO   136.3   19.7    
2013    10      21      12      TC1     1327    FRANCISCO   135.6   21.0    
2013    10      22      00      TC1     1327    FRANCISCO   134.5   22.3    
2013    10      22      12      TC1     1327    FRANCISCO   133.0   23.2    
2013    10      23      12      TC1     1327    FRANCISCO   130.1   24.6    
2013    10      24      00      TC1     1327    FRANCISCO   129.7   25.1    
2013    10      25      12      TC1     1327    FRANCISCO   134.7   29.6    
2013    10      28      12      TC1     -9999   NONAME      137.0   13.5    
2013    10      29      00      TC1     -9999   NONAME      134.2   15.1    
2013    10      29      12      TC1     -9999   NONAME      132.2   15.4    
2013    10      30      00      TC1     1329    KROSA       129.8   16.4    
2013    10      30      12      TC1     1329    KROSA       126.8   17.2    
2013    10      31      00      TC1     1329    KROSA       124.2   17.9    
2013    10      31      12      TC1     1329    KROSA       121.8   18.3    
2013    11      01      00      TC1     1329    KROSA       119.3   18.9    
2013    11      01      12      TC1     1329    KROSA       117.1   19.4    
2013    11      02      00      TC1     1329    KROSA       115.9   19.6    
2013    11      02      12      TC1     1329    KROSA       115.0   20.1    
2013    11      03      00      TC1     1329    KROSA       114.8   20.3    
2013    11      03      12      TC1     1329    KROSA       114.2   20.4    
2013    11      04      00      TC1     1329    KROSA       112.4   18.6    
2013    11      04      12      TC2     1329    KROSA       110.0   17.0    
2013    11      05      00      TC2     -9999   NONAME      119.6   10.8    
2013    11      05      12      TC2     -9999   NONAME      115.4   10.6    
2013    11      06      00      TC2     -9999   NONAME      111.9   11.6    
2013    11      06      12      TC1     1330    HAIYAN      136.2   7.9     
2013    11      07      00      TC1     1330    HAIYAN      132.8   8.7     
2013    11      07      12      TC1     1330    HAIYAN      129.1   10.2    
2013    11      08      00      TC1     1330    HAIYAN      124.8   11.0    
2013    11      08      12      TC1     1330    HAIYAN      120.7   11.8    
2013    11      09      00      TC1     1330    HAIYAN      116.6   12.3    
2013    11      09      12      TC1     1330    HAIYAN      113.1   14.4    
2013    11      10      00      TC1     1330    HAIYAN      110.3   16.5    
2013    11      10      12      TC1     1330    HAIYAN      108.1   19.4    
2013    11      11      00      TC1     1330    HAIYAN      107.2   21.3    
2013    11      11      12      TC1     1330    HAIYAN      107.0   23.0    
2013    11      12      00      TC1     -9999   NONAME      127.0   7.0     
2013    11      12      12      TC1     -9999   NONAME      124.1   9.3     
2013    11      13      00      TC1     -9999   NONAME      120.0   11.0    
2013    11      13      12      TC1     -9999   NONAME      117.4   11.1    
2013    11      14      00      TC1     -9999   NONAME      114.7   12.3    
2013    11      14      12      TC1     1331    PODUL       111.0   11.9    
2013    11      15      00      TC1     1331    PODUL       108.0   12.0    
2014    01      31      00      TC1     1402    KAJIKI      130.8   10.1    
2014    01      31      12      TC1     1402    KAJIKI      126.6   9.8     
2014    02      01      00      TC1     1402    KAJIKI      122.8   11.0    
2014    02      01      12      TC1     1402    KAJIKI      118.0   11.0    
2014    04      06      00      TC1     1404    PEIPAH      136.9   5.8     
2014    04      06      12      TC1     1404    PEIPAH      135.3   6.8     
2014    04      07      00      TC1     1404    PEIPAH      133.0   6.9     
2014    04      07      12      TC1     1404    PEIPAH      131.8   6.5     
2014    04      08      00      TC1     1404    PEIPAH      131.5   7.1     
2014    04      08      12      TC1     1404    PEIPAH      130.0   8.8     
2014    04      09      00      TC1     1404    PEIPAH      129.3   9.1     
2014    06      11      12      TC1     1406    MITAG       130.1   25.6    
2014    06      13      12      TC1     -9999   NONAME      116.1   20.2    
2014    06      14      00      TC1     -9999   NONAME      116.7   20.3    
2014    06      14      12      TC1     1407    HAGIBIS     116.8   20.9    
2014    06      15      00      TC1     1407    HAGIBIS     116.6   22.0    
2014    06      15      12      TC1     1407    HAGIBIS     116.5   23.4    
2014    07      05      12      TC1     1408    NEOGURI     136.0   16.7    
2014    07      06      00      TC1     1408    NEOGURI     133.0   18.0    
2014    07      06      12      TC1     1408    NEOGURI     130.3   18.9    
2014    07      07      00      TC1     1408    NEOGURI     128.3   20.4    
2014    07      07      12      TC1     1408    NEOGURI     126.7   22.3    
2014    07      08      00      TC1     1408    NEOGURI     126.1   25.0    
2014    07      08      12      TC1     1408    NEOGURI     125.7   27.7    
2014    07      09      00      TC1     1408    NEOGURI     126.2   30.2    
2014    07      13      00      TC1     1409    RAMMASUN    137.5   13.7    
2014    07      13      12      TC1     1409    RAMMASUN    134.2   13.4    
2014    07      14      00      TC1     1409    RAMMASUN    130.5   13.2    
2014    07      14      12      TC1     1409    RAMMASUN    128.2   12.7    
2014    07      15      00      TC1     1409    RAMMASUN    125.6   12.7    
2014    07      15      12      TC1     1409    RAMMASUN    123.4   13.4    
2014    07      16      00      TC1     1409    RAMMASUN    120.4   14.2    
2014    07      16      12      TC1     1409    RAMMASUN    117.6   15.1    
2014    07      17      00      TC1     1409    RAMMASUN    115.6   16.1    
2014    07      17      12      TC1     1409    RAMMASUN    114.3   17.5    
2014    07      18      00      TC1     1409    RAMMASUN    112.3   19.1    
2014    07      18      12      TC1     1409    RAMMASUN    110.2   20.3    
2014    07      19      00      TC1     1409    RAMMASUN    108.1   21.8    
2014    07      19      12      TC1     1409    RAMMASUN    105.5   22.5    
2014    07      20      00      TC1     1409    RAMMASUN    104.0   23.0    
2014    07      20      12      TC1     1410    MATMO       127.8   14.0    
2014    07      21      00      TC1     1410    MATMO       127.6   15.8    
2014    07      21      12      TC1     1410    MATMO       125.3   18.5    
2014    07      22      00      TC1     1410    MATMO       123.7   20.4    
2014    07      22      12      TC1     1410    MATMO       122.0   22.4    
2014    07      23      00      TC1     1410    MATMO       120.2   24.4    
2014    07      23      12      TC1     1410    MATMO       118.6   25.5    
2014    07      24      00      TC1     1410    MATMO       117.7   27.9    
2014    07      24      12      TC1     1410    MATMO       118.3   30.8    
2014    07      29      00      TC1     -9999   NONAME      131.2   18.3    
2014    07      29      12      TC2     -9999   NONAME      129.5   18.3    
2014    07      30      00      TC1     1412    NAKRI       129.5   19.5    
2014    07      30      12      TC1     1412    NAKRI       128.9   22.9    
2014    07      31      00      TC1     1412    NAKRI       127.1   24.4    
2014    07      31      12      TC1     1412    NAKRI       127.1   25.9    
2014    08      01      00      TC1     1412    NAKRI       127.3   28.5    
2014    08      01      12      TC1     1412    NAKRI       125.5   30.2    
2014    08      02      00      TC1     1412    NAKRI       124.9   32.1    
2014    08      02      12      TC1     1412    NAKRI       124.5   33.3    
2014    08      03      00      TC1     1412    NAKRI       125.0   35.0    
2014    08      03      12      TC1     1411    HALONG      132.3   15.7    
2014    08      04      00      TC1     1411    HALONG      130.7   16.5    
2014    08      04      12      TC1     1411    HALONG      129.9   17.4    
2014    08      05      00      TC1     1411    HALONG      129.8   19.1    
2014    08      05      12      TC1     1411    HALONG      130.0   20.8    
2014    08      06      00      TC1     1411    HALONG      130.3   22.4    
2014    08      06      12      TC1     1411    HALONG      131.1   23.6    
2014    08      07      00      TC1     1411    HALONG      131.7   24.8    
2014    08      07      12      TC1     1411    HALONG      131.7   26.3    
2014    08      08      00      TC1     1411    HALONG      131.5   27.3    
2014    09      12      12      TC1     1415    KALMAEGI    130.2   13.7    
2014    09      13      00      TC1     1415    KALMAEGI    128.8   14.0    
2014    09      13      12      TC1     1415    KALMAEGI    126.3   14.6    
2014    09      14      00      TC1     1415    KALMAEGI    124.5   16.4    
2014    09      14      12      TC1     1415    KALMAEGI    121.7   17.8    
2014    09      15      00      TC1     1415    KALMAEGI    118.2   18.2    
2014    09      15      12      TC1     1415    KALMAEGI    114.4   18.9    
2014    09      16      00      TC1     1415    KALMAEGI    111.6   20.2    
2014    09      16      12      TC1     1415    KALMAEGI    108.0   21.1    
2014    09      17      00      TC1     1415    KALMAEGI    104.7   22.4    
2014    09      17      12      TC1     1415    KALMAEGI    102.0   23.0    
2014    09      18      00      TC1     1416    FUNG-WONG   128.7   13.0    
2014    09      18      12      TC1     1416    FUNG-WONG   126.2   14.7    
2014    09      19      00      TC1     1416    FUNG-WONG   122.6   18.0    
2014    09      19      12      TC1     1416    FUNG-WONG   119.9   18.7    
2014    09      20      00      TC1     1416    FUNG-WONG   119.8   19.1    
2014    09      20      12      TC1     1416    FUNG-WONG   119.7   20.6    
2014    09      21      00      TC1     1416    FUNG-WONG   120.5   21.6    
2014    09      21      12      TC1     1416    FUNG-WONG   121.9   24.2    
2014    09      22      00      TC1     1416    FUNG-WONG   122.0   27.2    
2014    09      23      12      TC1     1416    FUNG-WONG   122.5   32.7    
2014    09      24      00      TC1     1416    FUNG-WONG   125.0   33.0    
2014    10      02      12      TC1     1418    PHANFONE    137.5   20.6    
2014    10      04      00      TC1     1418    PHANFONE    132.8   25.4    
2014    10      04      12      TC1     1418    PHANFONE    131.8   27.1    
2014    10      07      00      TC1     1419    VONGFONG    136.5   16.9    
2014    10      07      12      TC1     1419    VONGFONG    134.2   17.4    
2014    10      08      00      TC1     1419    VONGFONG    132.2   17.9    
2014    10      08      12      TC1     1419    VONGFONG    131.0   18.4    
2014    10      09      00      TC1     1419    VONGFONG    130.0   19.2    
2014    10      09      12      TC1     1419    VONGFONG    129.6   20.2    
2014    10      10      00      TC1     1419    VONGFONG    129.4   21.4    
2014    10      11      00      TC1     1419    VONGFONG    128.8   24.4    
2014    10      13      00      TC1     1419    VONGFONG    130.3   31.3    
2014    10      31      00      TC1     -9999   NONAME      137.2   12.3    
2014    10      31      12      TC1     1420    NURI        135.5   12.9    
2014    11      01      00      TC1     1420    NURI        133.9   13.1    
2014    11      01      12      TC1     1420    NURI        133.4   14.0    
2014    11      02      00      TC1     1420    NURI        132.8   15.4    
2014    11      02      12      TC1     1420    NURI        132.5   17.2    
2014    11      03      00      TC1     1420    NURI        132.5   18.4    
2014    11      03      12      TC1     1420    NURI        133.5   19.8    
2014    11      04      00      TC1     1420    NURI        135.0   21.3    
2014    11      04      12      TC1     1420    NURI        136.2   23.0    
2014    11      05      00      TC1     1420    NURI        137.3   24.6    
2014    11      27      00      TC1     -9999   NONAME      122.6   9.9     
2014    11      27      12      TC1     -9999   NONAME      120.5   10.0    
2014    11      28      00      TC1     1421    SINLAKU     117.3   10.7    
2014    11      28      12      TC1     1421    SINLAKU     115.0   11.7    
2014    11      29      00      TC1     1421    SINLAKU     111.8   12.7    
2014    11      29      12      TC1     1421    SINLAKU     109.8   13.2    
2014    11      30      00      TC1     1421    SINLAKU     108.6   13.4    
2014    12      03      12      TC1     1422    HAGUPIT     136.8   8.7     
2014    12      04      00      TC1     1422    HAGUPIT     133.8   9.8     
2014    12      04      12      TC1     1422    HAGUPIT     131.3   11.0    
2014    12      05      00      TC1     1422    HAGUPIT     129.8   11.7    
2014    12      05      12      TC1     1422    HAGUPIT     128.5   12.0    
2014    12      06      00      TC1     1422    HAGUPIT     127.4   12.1    
2014    12      06      12      TC1     1422    HAGUPIT     125.9   12.0    
